0 1 0
0.1 0.95403 0.0977015
0.2 0.90806 0.190806
0.3 0.862091 0.279314
0.4 0.816121 0.363224
0.5 0.770151 0.442538
0.6 0.724181 0.517254
0.7 0.678212 0.587374
0.8 0.632242 0.652897
0.9 0.586272 0.713822
1 0.540302 0.770151
1.1 0.444657 0.819399
1.2 0.349012 0.859083
1.3 0.253368 0.889202
1.4 0.157723 0.909756
1.5 0.0620777 0.920746
1.6 -0.0335672 0.922172
1.7 -0.129212 0.914033
1.8 -0.224857 0.896329
1.9 -0.320502 0.869061
2 -0.416147 0.832229
2.1 -0.473531 0.787745
2.2 -0.530916 0.737523
2.3 -0.588301 0.681562
2.4 -0.645685 0.619863
2.5 -0.70307 0.552425
2.6 -0.760454 0.479249
2.7 -0.817839 0.400334
2.8 -0.875223 0.315681
2.9 -0.932608 0.225289
3 -0.989992 0.129159
3.1 -0.956358 0.0318417
3.2 -0.922723 -0.0621123
3.3 -0.889088 -0.152703
3.4 -0.855453 -0.23993
3.5 -0.821818 -0.323793
3.6 -0.788183 -0.404293
3.7 -0.754548 -0.48143
3.8 -0.720913 -0.555203
3.9 -0.687279 -0.625613
4 -0.653644 -0.692659
4.1 -0.559913 -0.753337
4.2 -0.466182 -0.804641
4.3 -0.372452 -0.846573
4.4 -0.278721 -0.879132
4.5 -0.184991 -0.902317
4.6 -0.0912601 -0.91613
4.7 0.00247044 -0.920569
4.8 0.096201 -0.915636
4.9 0.189932 -0.901329
5 0.283662 -0.87765
5.1 0.351313 -0.845901
5.2 0.418964 -0.807387
5.3 0.486615 -0.762108
5.4 0.554265 -0.710064
5.5 0.621916 -0.651255
5.6 0.689567 -0.585681
5.7 0.757218 -0.513342
5.8 0.824869 -0.434237
5.9 0.892519 -0.348368
6 0.96017 -0.255733
6.1 0.939543 -0.160748
6.2 0.918917 -0.0678246
6.3 0.89829 0.0230357
6.4 0.877663 0.111833
6.5 0.857036 0.198568
6.6 0.836409 0.283241
6.7 0.815783 0.36585
6.8 0.795156 0.446397
6.9 0.774529 0.524881
7 0.753902 0.601303
7.1 0.663962 0.672196
7.2 0.574022 0.734095
7.3 0.484082 0.787001
7.4 0.394141 0.830912
7.5 0.304201 0.865829
7.6 0.214261 0.891752
7.7 0.124321 0.908681
7.8 0.0343804 0.916616
7.9 -0.0555598 0.915557
8 -0.1455 0.905504
8.1 -0.222063 0.887126
8.2 -0.298626 0.861091
8.3 -0.375189 0.827401
8.4 -0.451752 0.786054
8.5 -0.528315 0.73705
8.6 -0.604878 0.680391
8.7 -0.681441 0.616075
8.8 -0.758004 0.544102
8.9 -0.834567 0.464474
9 -0.91113 0.377189
