0 0 1.11022e-16 0
0.1 0.00978516 0.19418 0.000327441
0.2 0.0385316 0.379225 0.00258907
0.3 0.0853255 0.555132 0.00863534
0.4 0.149253 0.721904 0.0202253
0.5 0.229402 0.879539 0.0390267
0.6 0.324857 1.02804 0.0666159
0.7 0.434705 1.1674 0.104478
0.8 0.558032 1.29763 0.154006
0.9 0.693926 1.41872 0.216503
1 0.841471 1.53067 0.29318
1.1 0.831296 -0.0543918 0.376736
1.2 0.829959 0.024479 0.459734
1.3 0.835558 0.0843401 0.542959
1.4 0.846193 0.125192 0.627013
1.5 0.859963 0.147033 0.712303
1.6 0.874966 0.149866 0.799047
1.7 0.889302 0.133688 0.887274
1.8 0.90107 0.0985008 0.976822
1.9 0.908369 0.0443039 1.06734
2 0.909297 -0.164555 1.15828
2.1 0.888516 -0.252969 1.24825
2.2 0.858324 -0.352786 1.33567
2.3 0.817579 -0.464007 1.41956
2.4 0.765142 -0.586632 1.4988
2.5 0.699872 -0.720661 1.57216
2.6 0.62063 -0.866094 1.63831
2.7 0.526273 -1.02293 1.69578
2.8 0.415663 -1.19117 1.74302
2.9 0.287659 -1.37082 1.77834
3 0.14112 -0.0255097 1.79993
3.1 0.128843 -0.21892 1.81359
3.2 0.0975587 -0.40565 1.82507
3.3 0.0479355 -0.585699 1.83249
3.4 -0.0193585 -0.759069 1.83407
3.5 -0.103656 -0.925757 1.82806
3.6 -0.204287 -1.08577 1.81279
3.7 -0.320586 -1.23909 1.78668
3.8 -0.451883 -1.38574 1.74817
3.9 -0.597512 -1.52571 1.69582
4 -0.756802 0.136849 1.62822
4.1 -0.749304 0.0162255 1.55301
4.2 -0.752936 -0.0857526 1.47798
4.3 -0.765833 -0.169085 1.40212
4.4 -0.786131 -0.233772 1.32457
4.5 -0.811966 -0.279812 1.24471
4.6 -0.841472 -0.307207 1.16206
4.7 -0.872786 -0.315957 1.07635
4.8 -0.904042 -0.30606 0.987501
4.9 -0.933376 -0.277518 0.895606
5 -0.958924 -0.23033 0.800952
5.1 -0.938484 0.237115 0.706029
5.2 -0.911055 0.3137 0.613488
5.3 -0.875298 0.403667 0.524095
5.4 -0.829876 0.507016 0.43875
5.5 -0.773449 0.623748 0.358487
5.6 -0.70468 0.753863 0.284472
5.7 -0.62223 0.89736 0.218007
5.8 -0.524762 1.05424 0.160527
5.9 -0.410936 1.2245 0.1136
6 -0.279415 1.40815 0.0789291
6.1 -0.26505 0.237533 0.0515488
6.2 -0.232038 0.422072 0.0265406
6.3 -0.180765 0.602747 0.00574992
6.4 -0.111617 0.779557 -0.00901652
6.5 -0.024982 0.952504 -0.0159906
6.6 0.0787547 1.12159 -0.0134429
6.7 0.199206 1.2868 0.0003175
6.8 0.335986 1.44816 0.0269427
6.9 0.488709 1.60564 0.0680462
7 0.656987 1.75927 0.125203
7.1 0.652905 0.0287805 0.190579
7.2 0.662118 0.152343 0.256227
7.3 0.682749 0.257152 0.323383
7.4 0.712923 0.343208 0.393095
7.5 0.750765 0.41051 0.466223
7.6 0.7944 0.459059 0.543441
7.7 0.841952 0.488856 0.625234
7.8 0.891546 0.499898 0.711899
7.9 0.941306 0.492188 0.803548
8 0.989358 0.465724 0.900104
8.1 0.967465 -0.24083 0.99798
8.2 0.940794 -0.294582 1.09344
8.3 0.908151 -0.360275 1.18594
8.4 0.868341 -0.43791 1.27483
8.5 0.820171 -0.527485 1.35933
8.6 0.762446 -0.629002 1.43854
8.7 0.693973 -0.742459 1.51146
8.8 0.613556 -0.867858 1.57694
8.9 0.520003 -1.0052 1.63373
9 0.412118 -1.15448 1.68046
