0 0 0.757905 0
0.1 0.0766262 0.774618 0.00381738
0.2 0.154924 0.791331 0.0153809
0.3 0.234892 0.808045 0.0348578
0.4 0.316533 0.824758 0.0624151
0.5 0.399844 0.841471 0.0982201
0.6 0.484827 0.858184 0.14244
0.7 0.571481 0.874897 0.195241
0.8 0.659806 0.89161 0.256792
0.9 0.749803 0.908324 0.327258
1 0.841471 0.925037 0.406808
1.1 0.925403 0.753595 0.495294
1.2 0.99219 0.582153 0.591317
1.3 1.04183 0.410711 0.693161
1.4 1.07433 0.239269 0.799112
1.5 1.08969 0.0678264 0.907456
1.6 1.0879 -0.103616 1.01648
1.7 1.06896 -0.275058 1.12446
1.8 1.03289 -0.4465 1.2297
1.9 0.979664 -0.617942 1.33047
2 0.909297 -0.789384 1.42506
2.1 0.830571 -0.785143 1.51205
2.2 0.752269 -0.780901 1.59119
2.3 0.674391 -0.77666 1.66252
2.4 0.596937 -0.772419 1.72608
2.5 0.519907 -0.768177 1.78192
2.6 0.443301 -0.763936 1.83008
2.7 0.36712 -0.759695 1.87059
2.8 0.291362 -0.755453 1.90351
2.9 0.216029 -0.751212 1.92888
3 0.14112 -0.746971 1.94673
3.1 0.0649134 -0.777161 1.95706
3.2 -0.0143122 -0.807352 1.95962
3.3 -0.0965569 -0.837542 1.9541
3.4 -0.181821 -0.867732 1.9402
3.5 -0.270103 -0.897923 1.91763
3.6 -0.361405 -0.928113 1.88608
3.7 -0.455726 -0.958303 1.84525
3.8 -0.553066 -0.988493 1.79484
3.9 -0.653425 -1.01868 1.73454
4 -0.756802 -1.04887 1.66405
4.1 -0.853222 -0.879524 1.58341
4.2 -0.932707 -0.710173 1.49397
4.3 -0.995257 -0.540823 1.39743
4.4 -1.04087 -0.371472 1.29549
4.5 -1.06955 -0.202122 1.18982
4.6 -1.0813 -0.0327713 1.08214
4.7 -1.07611 0.136579 0.974128
4.8 -1.05398 0.30593 0.867483
4.9 -1.01492 0.47528 0.763897
5 -0.958924 0.644631 0.665063
5.1 -0.894112 0.651606 0.572406
5.2 -0.828603 0.658582 0.486264
5.3 -0.762396 0.665557 0.406708
5.4 -0.695492 0.672533 0.333808
5.5 -0.627889 0.679509 0.267633
5.6 -0.55959 0.686484 0.208254
5.7 -0.490593 0.69346 0.155739
5.8 -0.420898 0.700436 0.110158
5.9 -0.350505 0.707411 0.0715823
6 -0.279415 0.714387 0.0400804
6.1 -0.205757 0.75879 0.0157848
6.2 -0.127657 0.803193 -0.000922907
6.3 -0.045118 0.847596 -0.00959869
6.4 0.0418617 0.891999 -0.00979851
6.5 0.133282 0.936402 -0.00107833
6.6 0.229142 0.980805 0.0170059
6.7 0.329443 1.02521 0.0448981
6.8 0.434184 1.06961 0.0830424
6.9 0.543365 1.11401 0.131883
7 0.656987 1.15842 0.191863
7.1 0.764568 0.993208 0.263079
7.2 0.855628 0.827999 0.344226
7.3 0.930168 0.66279 0.433654
7.4 0.988186 0.497581 0.529709
7.5 1.02968 0.332372 0.63074
7.6 1.05466 0.167163 0.735095
7.7 1.06312 0.00195343 0.841122
7.8 1.05505 -0.163256 0.947168
7.9 1.03047 -0.328465 1.05158
8 0.989358 -0.493674 1.15271
8.1 0.939155 -0.510387 1.24915
8.2 0.887281 -0.5271 1.34049
8.3 0.833735 -0.543813 1.42655
8.4 0.778518 -0.560527 1.50718
8.5 0.72163 -0.57724 1.5822
8.6 0.66307 -0.593953 1.65145
8.7 0.602839 -0.610666 1.71476
8.8 0.540937 -0.627379 1.77196
8.9 0.477363 -0.644092 1.82289
9 0.412118 -0.660806 1.86738
