# Integral Tests
sqrt(x) 0.666667 0.666667 1.30186e-08
1/sqrt(x) 2 2 2.00105e-06
sqrt(1-x^2) 0.785398 1.5708 0.785398
ln(x)/sqrt(x) -3.99994 -4 5.92626e-05
