-5 -1
-4.97996 -1
-4.95992 -1
-4.93988 -1
-4.91984 -1
-4.8998 -1
-4.87976 -1
-4.85972 -1
-4.83968 -1
-4.81964 -1
-4.7996 -1
-4.77956 -1
-4.75952 -1
-4.73948 -1
-4.71944 -1
-4.6994 -1
-4.67936 -1
-4.65932 -1
-4.63928 -1
-4.61924 -1
-4.5992 -1
-4.57916 -1
-4.55912 -1
-4.53908 -1
-4.51904 -1
-4.499 -1
-4.47896 -1
-4.45892 -1
-4.43888 -1
-4.41884 -1
-4.3988 -1
-4.37876 -1
-4.35872 -1
-4.33868 -1
-4.31864 -1
-4.2986 -1
-4.27856 -1
-4.25852 -1
-4.23848 -1
-4.21844 -1
-4.1984 -1
-4.17836 -1
-4.15832 -1
-4.13828 -1
-4.11824 -1
-4.0982 -1
-4.07816 -1
-4.05812 -1
-4.03808 -1
-4.01804 -1
-3.998 -1
-3.97796 -1
-3.95792 -1
-3.93788 -1
-3.91784 -1
-3.8978 -1
-3.87776 -1
-3.85772 -1
-3.83768 -1
-3.81764 -1
-3.7976 -1
-3.77756 -1
-3.75752 -1
-3.73747 -1
-3.71743 -1
-3.69739 -1
-3.67735 -1
-3.65731 -1
-3.63727 -1
-3.61723 -1
-3.59719 -1
-3.57715 -1
-3.55711 -1
-3.53707 -0.999999
-3.51703 -0.999999
-3.49699 -0.999999
-3.47695 -0.999999
-3.45691 -0.999999
-3.43687 -0.999999
-3.41683 -0.999999
-3.39679 -0.999998
-3.37675 -0.999998
-3.35671 -0.999998
-3.33667 -0.999998
-3.31663 -0.999997
-3.29659 -0.999997
-3.27655 -0.999996
-3.25651 -0.999996
-3.23647 -0.999995
-3.21643 -0.999995
-3.19639 -0.999994
-3.17635 -0.999993
-3.15631 -0.999992
-3.13627 -0.999991
-3.11623 -0.99999
-3.09619 -0.999988
-3.07615 -0.999986
-3.05611 -0.999985
-3.03607 -0.999982
-3.01603 -0.99998
-2.99599 -0.999977
-2.97595 -0.999974
-2.95591 -0.999971
-2.93587 -0.999967
-2.91583 -0.999963
-2.89579 -0.999958
-2.87575 -0.999952
-2.85571 -0.999946
-2.83567 -0.999939
-2.81563 -0.999932
-2.79559 -0.999923
-2.77555 -0.999913
-2.75551 -0.999903
-2.73547 -0.999891
-2.71543 -0.999877
-2.69539 -0.999862
-2.67535 -0.999845
-2.65531 -0.999827
-2.63527 -0.999806
-2.61523 -0.999783
-2.59519 -0.999758
-2.57515 -0.999729
-2.55511 -0.999698
-2.53507 -0.999663
-2.51503 -0.999625
-2.49499 -0.999582
-2.47495 -0.999535
-2.45491 -0.999483
-2.43487 -0.999426
-2.41483 -0.999362
-2.39479 -0.999293
-2.37475 -0.999216
-2.35471 -0.999132
-2.33467 -0.999039
-2.31463 -0.998937
-2.29459 -0.998826
-2.27455 -0.998703
-2.25451 -0.998569
-2.23447 -0.998422
-2.21443 -0.998262
-2.19439 -0.998086
-2.17435 -0.997895
-2.15431 -0.997686
-2.13427 -0.997458
-2.11423 -0.99721
-2.09419 -0.99694
-2.07415 -0.996646
-2.05411 -0.996327
-2.03407 -0.99598
-2.01403 -0.995604
-1.99399 -0.995197
-1.97395 -0.994755
-1.95391 -0.994277
-1.93387 -0.99376
-1.91383 -0.993202
-1.89379 -0.992599
-1.87375 -0.991948
-1.85371 -0.991247
-1.83367 -0.990491
-1.81363 -0.989678
-1.79359 -0.988804
-1.77355 -0.987864
-1.75351 -0.986856
-1.73347 -0.985773
-1.71343 -0.984613
-1.69339 -0.983371
-1.67335 -0.982041
-1.65331 -0.980619
-1.63327 -0.9791
-1.61323 -0.977478
-1.59319 -0.975748
-1.57315 -0.973903
-1.55311 -0.971938
-1.53307 -0.969848
-1.51303 -0.967624
-1.49299 -0.965262
-1.47295 -0.962754
-1.45291 -0.960094
-1.43287 -0.957274
-1.41283 -0.954287
-1.39279 -0.951127
